# annotation_protocol_version: 1.1; reviewer_id: claude-809c44f2 (model); frozen_at_commit: b4ee959; date: 2026-09-20
clip_id,frame_index,timestamp_s,target_cat,tail_visibility,tail_identity_confidence,condition,note,reference_box,alt_cat,alt_tail_visibility,alt_identity_confidence,alt_note,alt_reference_box
commons-cat-plays,0,0.0000,cat_0 tuxedo,not_visible,high,appearance_ambiguous,raised hind leg with white paw; tail under body,,,,,,
commons-cat-plays,1,0.2500,cat_0 tuxedo,not_visible,high,appearance_ambiguous,raised hind leg with white paw; tail under body,,,,,,
commons-cat-plays,2,0.5000,cat_0 tuxedo,not_visible,high,appearance_ambiguous,raised hind leg with white paw; tail under body,,,,,,
commons-cat-plays,3,0.7500,cat_0 tuxedo,not_visible,high,appearance_ambiguous,raised hind leg with white paw; tail under body,,,,,,
commons-cat-plays,4,1.0000,cat_0 tuxedo,visible,high,none,"black tail extends up-left, no white tip",130 368 233 493,,,,,
commons-cat-plays,5,1.2500,cat_0 tuxedo,visible,high,none,black tail extends left,0 414 117 508,,,,,
commons-cat-plays,6,1.5000,cat_0 tuxedo,not_visible,medium,occlusion,cat curled; tail under body,,,,,,
commons-cat-plays,7,1.7500,cat_0 tuxedo,partial,medium,occlusion,only the tail tip shows upper-left,123 465 209 513,,,,,
commons-cat-plays,8,2.0000,cat_0 tuxedo,partial,medium,occlusion,only the tail tip shows upper-left,137 482 232 538,,,,,
commons-cat-plays,9,2.2500,cat_0 tuxedo,not_visible,medium,appearance_ambiguous,side-lying; hind legs with white paws toward camera; tail under body,,,,,,
commons-cat-plays,10,2.5000,cat_0 tuxedo,not_visible,medium,appearance_ambiguous,side-lying; hind legs with white paws toward camera; tail under body,,,,,,
commons-cat-plays,11,2.7500,cat_0 tuxedo,not_visible,medium,appearance_ambiguous,side-lying; hind legs with white paws toward camera; tail under body,,,,,,
commons-cat-plays,12,3.0000,cat_0 tuxedo,not_visible,medium,appearance_ambiguous,side-lying; hind legs with white paws toward camera; tail under body,,,,,,
commons-cat-plays,13,3.2500,cat_0 tuxedo,not_visible,medium,occlusion,tail under body,,,,,,
commons-cat-plays,14,3.5000,cat_0 tuxedo,not_visible,medium,occlusion,tail under body,,,,,,
commons-cat-plays,15,3.7500,cat_0 tuxedo,not_visible,medium,occlusion,tail under body,,,,,,
commons-cat-plays,16,4.0000,cat_0 tuxedo,not_visible,medium,occlusion,tail under body,,,,,,
commons-cat-plays,17,4.2500,cat_0 tuxedo,not_visible,medium,occlusion,tail under body,,,,,,
commons-cat-plays,18,4.5000,cat_0 tuxedo,not_visible,medium,occlusion,tail under body,,,,,,
commons-cat-plays,19,4.7500,cat_0 tuxedo,visible,high,none,"tail curled, upper right",463 367 537 452,,,,,
commons-cat-plays,20,5.0000,cat_0 tuxedo,visible,high,none,"tail curled, upper right",528 454 668 515,,,,,
commons-cat-plays,21,5.2500,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,22,5.5000,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,23,5.7500,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,24,6.0000,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,25,6.2500,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,26,6.5000,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,27,6.7500,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,28,7.0000,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,29,7.2500,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,30,7.5000,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,31,7.7500,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-plays,32,8.0000,cat_0 tuxedo,not_visible,medium,occlusion,curled on side; tail under body,,,,,,
commons-cat-jumping-backwards,0,0.0000,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",uncertain,low,blur,"motion blur, no cat resolvable",,tuxedo,uncertain,low,motion blur,
commons-cat-jumping-backwards,1,0.3333,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",uncertain,low,blur,motion blur,,tuxedo,uncertain,low,motion blur,
commons-cat-jumping-backwards,2,0.6667,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,dark,"tabby, tail curves up right",700 583 742 676,tuxedo,not_visible,low,dark; tuxedo not resolvable,
commons-cat-jumping-backwards,3,1.0000,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,dark,tabby,795 561 872 667,tuxedo,not_visible,low,dark; tuxedo not resolvable,
commons-cat-jumping-backwards,4,1.3333,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,blur,"tuxedo running, tail up",,tabby,visible,high,"tabby at the back, tail up right",783 426 904 478
commons-cat-jumping-backwards,5,1.6667,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,blur,"tuxedo jumping, tail up",720 550 868 843,tabby,visible,high,"tabby in the doorway, tail to the right",710 238 871 284
commons-cat-jumping-backwards,6,2.0000,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,multi_cat,"tuxedo, tail to the left",794 615 1106 757,tabby,visible,high,"tabby in the doorway, tail to the right",622 226 784 297
commons-cat-jumping-backwards,7,2.3333,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,none,"tabby, tail curled up right",512 269 656 358,tuxedo,visible,high,"upright tail on the scratcher, body hidden",1165 655 1300 840
commons-cat-jumping-backwards,8,2.6667,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,none,"tabby, tail curled up right",476 297 606 398,tuxedo,visible,high,"upright tail on the scratcher, body hidden",1125 655 1240 880
commons-cat-jumping-backwards,9,3.0000,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,none,"tabby, tail curled up right",465 302 602 415,tuxedo,visible,high,"upright tail on the scratcher, body hidden",1095 690 1190 910
commons-cat-jumping-backwards,10,3.3333,"cat boxed by the body run (tabby f002-f003, f007-f017; tuxedo otherwise)",visible,high,none,"tabby, tail curled up right",469 299 593 438,tuxedo,visible,high,"upright tail on the scratcher, body hidden",1095 660 1205 910
